Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
PMF1	1.08684204877589	3.76566651376531	11.11034288815	2.57991604916101e-25	8.01635324067328e-24	46.5970608210173
MAPKAPK2	1.07134003783082	4.60484896594102	11.1086440067079	2.61812074971751e-25	8.12143687839508e-24	46.5825089069992
SOX13	1.03444558876414	2.64687732379561	11.1068009675839	2.66020377420819e-25	8.23817954758552e-24	46.5667235656436
GTPBP2	1.20350236104168	2.81925353654743	11.0833554076456	3.25805598002155e-25	9.96464718315756e-24	46.3660404082145
LAGE3	1.40551486950077	4.30151440618252	11.0673332674004	3.74169680174878e-25	1.1387425319899e-23	46.2290312485055
LINC01612	-1.14840317932557	0.390516170854767	-11.0573591365513	4.07816714767895e-25	1.23707743501829e-23	46.1437947248446
SLC35F6	1.05348889229509	4.04275005085001	11.0569063335209	4.09413641300669e-25	1.24090527385386e-23	46.1399261756865
DARS2	1.11068688402914	2.98845330046654	11.0541983508644	4.19094671144065e-25	1.2650715916735e-23	46.1167921756415
CDCA8	1.5929618177582	1.71497480308097	11.0530233077026	4.23365946902777e-25	1.27692409946132e-23	46.1067548743056
NDUFA1	1.08552194581155	7.1127275696955	11.0371204435346	4.8561436619754e-25	1.45519295268806e-23	45.9709689327002
EXOSC5	1.07630686424209	3.85613613512295	11.0362131839303	4.89428142022008e-25	1.4654356931456e-23	45.9632255632167
MT1X	-3.51032698126853	5.10370869864074	-11.0178758583831	5.73224343359475e-25	1.69577342087446e-23	45.8067931811714
ATIC	1.04147991023662	4.01563698292921	10.9937677451891	7.05451277115616e-25	2.06386290693588e-23	45.6013487869427
SMIM29	1.12239700457535	2.92487687338515	10.9928469541852	7.11062611732303e-25	2.07863749118714e-23	45.5935069051528
OCRL	1.03422643545362	2.45282894526727	10.9877054981097	7.43220422957184e-25	2.16751165555025e-23	45.5497265399787
SLC52A2	1.44300450188475	3.04270591692874	10.9777939783623	8.09349253310438e-25	2.34375900266708e-23	45.4653601428556
THEM5	1.24891063370228	1.82160798130886	10.9708526791017	8.59112799536223e-25	2.48011066790512e-23	45.4063011371836
GM2A	1.00535122981024	3.846513934034	10.9557369330108	9.78254466402549e-25	2.80437994788062e-23	45.2777624807414
PPP6R1	1.02860463602748	3.30133781911897	10.9517631234334	1.01221420126116e-24	2.89277697425238e-23	45.243986957586
CCT5	1.12245700834808	4.12410053197594	10.9453702067139	1.06932358514643e-24	3.05363199280289e-23	45.1896643868216
SNX27	1.01110800292705	2.55409354418767	10.9444953901658	1.07738373488268e-24	3.07427879603889e-23	45.1822321688831
MRPS12	1.1066583966393	4.12650177957614	10.9386639017928	1.13267754958358e-24	3.21965549358993e-23	45.132697741956
